"Plot Title: 10596690_Birds_Mammals_Range"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10596690, SEN S/N: 10596690)","RH, % (LGR S/N: 10596690, SEN S/N: 10596690)"
1,06/06/23 11:28:37 AM,73.827,48.612
2,06/06/23 12:28:37 PM,74.129,48.442
3,06/06/23 01:28:37 PM,74.302,48.741
4,06/06/23 02:28:37 PM,74.865,48.495
5,06/06/23 03:28:37 PM,75.515,47.998
6,06/06/23 04:28:37 PM,75.994,47.487
7,06/06/23 05:28:37 PM,75.429,48.215
8,06/06/23 06:28:37 PM,74.431,48.910
9,06/06/23 07:28:37 PM,73.308,50.256
10,06/06/23 08:28:37 PM,72.358,51.353
11,06/06/23 09:28:37 PM,71.670,52.117
12,06/06/23 10:28:37 PM,71.154,52.641
13,06/06/23 11:28:37 PM,70.767,53.236
14,06/07/23 12:28:37 AM,70.423,53.739
15,06/07/23 01:28:37 AM,70.079,54.551
16,06/07/23 02:28:37 AM,69.735,55.267
17,06/07/23 03:28:37 AM,69.521,55.806
18,06/07/23 04:28:37 AM,69.220,56.397
19,06/07/23 05:28:37 AM,69.049,56.906
20,06/07/23 06:28:37 AM,68.877,57.322
21,06/07/23 07:28:37 AM,69.006,57.179
22,06/07/23 08:28:37 AM,69.348,56.624
23,06/07/23 09:28:37 AM,69.521,56.546
24,06/07/23 10:28:37 AM,71.024,54.502
25,06/07/23 11:28:37 AM,71.928,53.515
26,06/07/23 12:28:37 PM,72.487,53.121
27,06/07/23 01:28:37 PM,72.833,52.928
28,06/07/23 02:28:37 PM,73.179,52.547
29,06/07/23 03:28:37 PM,74.952,50.092
30,06/07/23 04:28:37 PM,76.255,48.498
31,06/07/23 05:28:37 PM,76.689,48.112
32,06/07/23 06:28:37 PM,76.341,48.344
33,06/07/23 07:28:37 PM,75.906,48.952
34,06/07/23 08:28:37 PM,73.913,51.407
35,06/07/23 09:28:37 PM,72.660,53.165
36,06/07/23 10:28:37 PM,71.841,54.381
37,06/07/23 11:28:37 PM,71.154,55.413
38,06/08/23 12:28:37 AM,70.594,56.419
39,06/08/23 01:28:37 AM,70.036,57.389
40,06/08/23 02:28:37 AM,69.606,58.181
41,06/08/23 03:28:37 AM,69.177,58.786
42,06/08/23 04:28:37 AM,68.833,59.183
43,06/08/23 05:28:37 AM,68.448,59.515
44,06/08/23 06:28:37 AM,68.362,59.508
45,06/08/23 07:28:37 AM,68.792,59.088
46,06/08/23 08:28:37 AM,69.865,57.865
47,06/08/23 09:28:37 AM,71.197,55.912
48,06/08/23 10:28:37 AM,72.057,55.021
49,06/08/23 11:28:37 AM,73.049,53.978
50,06/08/23 12:28:37 PM,74.043,52.896
51,06/08/23 01:28:37 PM,74.691,52.412
52,06/08/23 02:28:37 PM,74.995,52.214
53,06/08/23 03:28:37 PM,75.342,51.609
54,06/08/23 04:28:37 PM,75.558,51.246
55,06/08/23 05:28:37 PM,75.646,50.809
56,06/08/23 06:28:37 PM,76.167,49.863
57,06/08/23 07:28:37 PM,76.210,49.675
58,06/08/23 08:28:37 PM,74.172,52.089
59,06/08/23 09:28:37 PM,72.919,53.967
60,06/08/23 10:28:37 PM,72.057,55.269
61,06/08/23 11:28:37 PM,71.368,56.514
62,06/09/23 12:28:37 AM,70.767,57.450
63,06/09/23 01:28:37 AM,70.293,58.239
64,06/09/23 02:28:37 AM,69.906,58.880
65,06/09/23 03:28:37 AM,69.735,59.170
66,06/09/23 04:28:37 AM,69.391,59.598
67,06/09/23 05:28:37 AM,69.006,60.173
68,06/09/23 06:28:37 AM,68.920,60.256
69,06/09/23 07:28:37 AM,69.564,59.339
70,06/09/23 08:28:37 AM,70.079,58.833
71,06/09/23 09:28:37 AM,70.810,57.731
72,06/09/23 10:28:37 AM,71.238,57.274
73,06/09/23 11:28:37 AM,71.627,56.721
74,06/09/23 12:28:37 PM,72.833,55.176
75,06/09/23 01:28:37 PM,73.524,54.328
76,06/09/23 02:28:37 PM,75.038,52.375
